name,id,city,state,lat,lon,score,rank,rank2,globalScore,country,price
Harbor House Inn,44230,Morro Bay, California,35.36917,-120.84999,353495.25,11.820557,56.06613540649414,30.0,US,116.24
Inn At Morro Bay,2991805,Morro Bay, California,35.35310672,-120.84492087,348249.6,12.049914,52.72166442871094,30.0,US,209.00
Ascot Suites,2991605,Morro Bay, California,35.36594,-120.85055,342039.12,13.4588375,49.014671325683594,1.0,US,141.55
456 Embarcadero Inn & Suites,3021005,Morro Bay, California,35.36118,-120.85201,255188.27,11.862453,17.401079177856445,30.0,US,179.00
Bay View Inn - Morro Bay,17632704,Morro Bay, California,35.366861,-120.852282,253794.08,11.810301,17.108041763305664,30.0,US,89.00
Fireside Inn,11099603,Morro Bay, California,35.36525,-120.850759,253751.42,11.814407,17.09918785095215,1.0,US,85.94
Beach Bungalow Inn And Suites,10953303,Morro Bay, California,35.368306,-120.851194,235920.4,11.810301,13.740221977233887,30.0,US,121.50
Catalina Island Inn,60239604,Avalon, California,33.34389494,-118.32724124,353380.56,7.071068,57.464019775390625,30.0,US,269.00
Catalina Island Seacrest Inn,5591504,Avalon, California,33.34173,-118.32517,338835.06,11.810301,48.44942855834961,30.0,US,170.00
The Grove At Pismo Beach,40750,Pismo Beach, California,35.13781,-120.63068,364467.5,11.8105755,63.86316680908203,30.0,US,98.10
"Inn At The Pier Pismo Beach, Curio Collection BY Hilton",36368803,Pismo Beach, California,35.13937,-120.6421,364188.75,1.0,63.655303955078125,30.0,US,255.27
Holiday Inn Express Grover Beach-Pismo Beach Area,39873,Arroyo Grande, California,35.12835,-120.60784,363504.28,11.870501,64.69132232666016,30.0,US,135.15
Cottage Inn BY The Sea,5653505,Pismo Beach, California,35.14879508,-120.65054386,357345.12,12.085253,58.7567253112793,30.0,US,162.00
The Seacrest Oceanfront Hotel,9237305,Pismo Beach, California,35.148818,-120.649726,354707.44,11.837837,56.969329833984375,30.0,US,239.00
The Cliffs Resort,41069,Pismo Beach, California,35.16795,-120.69175,354413.22,12.16296,56.773311614990234,30.0,US,249.00
Dolphin Cove Motel,47322305,Pismo Beach, California,35.13994299,-120.64315577,351248.44,11.810301,54.7061767578125,30.0,US,98.10
"Vespera Resort On Pismo Beach, Autograph Collection",133482104,Pismo Beach, California,35.138083,-120.641853,350756.9,1.0,54.391761779785156,30.0,US,449.00
Big Bear Lake Front Lodge,4455105,Big Bear Lake, California,34.24366,-116.9215,400699.53,11.810303,97.8209228515625,30.0,US,157.50
Inn Between Pines #1411,26228003,Big Bear Lake, California,34.24288,-116.909,400699.22,11.809777,97.8209228515625,1.0,US,220.97
Marina Riviera,107041804,Big Bear Lake, California,34.244259,-116.912429,400696.06,1.0,97.81724548339844,30.0,US,179.10
Holiday Inn Resort The Lodge At Big Bear Lake,5603205,Big Bear Lake, California,34.24036,-116.91495,369466.06,12.36486,67.97340393066406,30.0,US,133.99
Best Western Big Bear Chateau,1964105,Big Bear Lake, California,34.24392,-116.88198,357922.94,11.810305,59.39020919799805,30.0,US,132.00
Robinhood Resort,42972606,Big Bear Lake, California,34.24328449,-116.91224321,343023.3,11.810321,49.870872497558594,30.0,US,117.00
Black Forest Lodge,5501803,Big Bear Lake, California,34.2436,-116.905056,340629.2,11.810303,48.48783493041992,30.0,US,74.88
Lagonita Lodge,40671,Big Bear Lake, California,34.25046,-116.9306,336850.66,12.2318945,46.381187438964844,30.0,US,161.10
Pasadena Hotel & Pool,16904603,Pasadena, California,34.1458825,-118.1311633,401043.38,11.810322,97.8209228515625,30.0,US,185.76
The Bissell House Bed & Breakfast,9459504,South Pasadena, California,34.12394,-118.158102,398971.97,14.6550045,97.82125854492188,30.0,US,302.63
Hilton Pasadena,39535,Pasadena, California,34.14325,-118.14137,377743.06,12.085529,74.56962585449219,30.0,US,246.40
Westin Pasadena,39026,Pasadena, California,34.14924,-118.14147,376878.47,11.935114,73.82112121582031,30.0,US,259.47
Ramada BY Wyndham Pasadena,43118,Pasadena, California,34.14612,-118.1058,373383.06,11.810564,70.86992645263672,30.0,US,103.70
Hilton Garden Inn Arcadia/Pasadena Area,474703,Arcadia, California,34.14207,-118.02522,369109.66,11.920702,69.07105255126953,30.0,US,168.35
Doubletree BY Hilton Hotel Monrovia - Pasadena,39859,Monrovia, California,34.14009,-118.01907,368010.47,11.836451,68.1899185180664,30.0,US,164.36
Embassy Suites BY Hilton Arcadia Pasadena Area,39351,Arcadia, California,34.14007,-118.02442,366410.66,11.826285,66.92720031738281,30.0,US,279.69
"Hotel Dena, Pasadena Los Angeles, A Tribute Portfolio Hotel",40024,Pasadena, California,34.14232,-118.14422,365924.12,11.889535,64.95571899414062,30.0,US,224.10
Holiday Inn Express Hotel & Suites Pasadena-Colorado Boulevard,5394605,Pasadena, California,34.14622116,-118.07874,364678.12,12.55578,64.0163345336914,30.0,US,141.00
Travelodge BY Wyndham Carlsbad NM,5594305,Carlsbad, New Mexico,32.4423789978027,-104.25921,398972.06,11.810301,97.8209228515625,1.0,US,128.26
Holiday Inn Carlsbad/San Diego,14588403,Carlsbad, California,33.13,-117.2644,378767.9,11.813234,75.55143737792969,30.0,US,203.67
Carlsbad BY The Sea Hotel,42466,Carlsbad, California,33.1221,-117.320016,374509.94,12.152693,71.8892593383789,30.0,US,139.50
"Studio 6 Carlsbad, CA",1779903,Carlsbad, California,33.133201,-117.3305,374318.25,13.476907,71.7278060913086,30.0,US,94.99
"Motel 6-Carlsbad, CA - East Near Legoland",1731405,Carlsbad, California,33.1181790000001,-117.318069,369948.28,11.824846,68.15933990478516,30.0,US,67.99
"Cape Rey Carlsbad Beach, A Hilton Resort & SPA",29724006,Carlsbad, California,33.09808726,-117.31550395,367938.94,12.02011,66.5784683227539,30.0,US,242.25
Best Western Carlsbad BY The Sea,41449,Carlsbad, California,33.1063810000001,-117.313574,367264.5,12.228824,66.05581665039062,30.0,US,100.28
La Quinta Inn & Suites BY Wyndham San Diego-Carlsbad,41301,Carlsbad, California,33.1062030000001,-117.314286,366131.06,11.812714,65.18644714355469,30.0,US,96.39
Yosemite Cabin,87855403,Fish Camp, California,37.547356,-119.647819,401367.9,0.5,97.81620025634766,1.0,US,460.00
Sierra Mountain Lodge - Vacation Rentals - Yosemite,34065604,Ahwahnee, California,37.40317,-119.730414,398971.6,11.810301,97.8209228515625,30.0,US,152.44
Sonesta Select Huntington Beach Fountain Valley,43926,Fountain Valley, California,33.7090000000001,-117.955277,373151.0,12.224549,72.40788269042969,30.0,US,116.23
"The Waterfront Beach Resort, A Hilton Hotel",39614,Huntington Beach, California,33.652179,-117.993789,365431.66,12.811999,64.57147216796875,30.0,US,320.45
Hyatt Regency Huntington Beach Resort And SPA,1943603,Huntington Beach, California,33.65026,-117.990742,365240.12,13.880358,64.42704772949219,30.0,US,425.00
Comfort Inn & Suites Huntington Beach,43570,Huntington Beach, California,33.7259350000001,-117.989354,364852.9,11.811771,64.13597869873047,30.0,US,132.21
